name,tracks,ownerName,socials,url,description,uri
70s GLAM ROCK (greatest hits),93,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/3oSi1rUbhdQ6zMOkWShKvQ,All the greatest hits of 1970s glam rock.     Find me on instagram @richspanningtime,spotify:playlist:3oSi1rUbhdQ6zMOkWShKvQ
70s FUNK (greatest hits),101,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/0O09Asc73zpJuTBZS9juns,All the greatest hits of classic 1970s funk.     Find me on instagram @richspanningtime,spotify:playlist:0O09Asc73zpJuTBZS9juns
INDIE (2000s),154,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/0jM6v8ns77zLwYEjCsO9Zs,Greatest indie anthems of the 2000s.  Find me on instagram @richspanningtime,spotify:playlist:0jM6v8ns77zLwYEjCsO9Zs
RnB 1990s (greatest hits),129,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/5MaRnLBk32IMCWGXPYTA5u,Greatest RnB jams of the 1990s.  Find me on instagram @richspanningtime,spotify:playlist:5MaRnLBk32IMCWGXPYTA5u
WEDDING mix (dancefloor),98,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/7DlYmDfVhuQk6o8hgZdbdk,Classic wedding dancefloor fillers.  Find me on instagram  @richspanningtime ,spotify:playlist:7DlYmDfVhuQk6o8hgZdbdk
RnB 2000s (greatest hits),111,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/3a9yodm1vqcU6JULLBeZeA,Greatest RnB jams of the 2000s.  Find me on instagram @richspanningtime,spotify:playlist:3a9yodm1vqcU6JULLBeZeA
AMBIENT (Qigong mix),41,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/7BPDNV3KGe9Y3BrvhoIeWz,An ambient background mix for daily self-care practice.   Find me on instagram  @richspanningtime,spotify:playlist:7BPDNV3KGe9Y3BrvhoIeWz
HIP HOP (Crunk mix),117,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/4c8VMgndleZuNlLdEIrI1S,All the hip hop hits of the crunk era in the 2000s.  Find me on instagram @richspanningtime,spotify:playlist:4c8VMgndleZuNlLdEIrI1S
MUSIC HISTORY (1954-2022),4129,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/7ei54MzcOfjcew9TNYkAjt,Music history (1954-2022) order of release.  Find me on instagram  @richspanningtime ,spotify:playlist:7ei54MzcOfjcew9TNYkAjt
INDIE (2010s),118,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/5oNt5wfZDQ3raw0qrGhISR,Greatest indie anthems of the 2010s.  Find me on instagram @richspanningtime,spotify:playlist:5oNt5wfZDQ3raw0qrGhISR
80s NEW WAVE (greatest hits),106,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/1bQe1mJBCSMfSPwWWWqjE7,Greatest new wave hits of the 1980s.  Find me on instagram @richspanningtime,spotify:playlist:1bQe1mJBCSMfSPwWWWqjE7
WEDDING mix (dinner),116,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/6lLmvaJr1q0dDOsJE7AGyq,All-time classic love songs.  Find me on instagram  @richspanningtime ,spotify:playlist:6lLmvaJr1q0dDOsJE7AGyq
MELLOW GOLD (old timers),111,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/3OPbUnNsbJYCKfZYj2g6uO,Mellow tunes for late night / early morning.  Find me on instagram  @richspanningtime ,spotify:playlist:3OPbUnNsbJYCKfZYj2g6uO
MELLOW GOLD (1970s),492,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/5FTGFjQCMVxaZ93wIUxq6O,Mellow tunes for late night / early morning.  Find me on instagram  @richspanningtime ,spotify:playlist:5FTGFjQCMVxaZ93wIUxq6O
2022 best music (so far),473,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/0Ymz0B6zhGlFoV8ZB6tFRG,"An evolving playlist, updated weekly.  Find me on instagram  @richspanningtime ",spotify:playlist:0Ymz0B6zhGlFoV8ZB6tFRG
ROCKABILLY (greatest hits),89,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/2YO9dDepWIs9rDRluIBtuz,"Classic rockabilly, mostly 1950s.  Find me on instagram @richspanningtime",spotify:playlist:2YO9dDepWIs9rDRluIBtuz
THE HITS (2000s) ,107,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/0OWnFXLdjd7HauOrmM0XjR,All the most popular hits of the era.  Find me on instagram  @richspanningtime ,spotify:playlist:0OWnFXLdjd7HauOrmM0XjR
MELLOW GOLD (jazz),96,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/1DoTPagYXaguBWMq6SH6SW,Mellow tunes for late night / early morning.  Find me on instagram  @richspanningtime ,spotify:playlist:1DoTPagYXaguBWMq6SH6SW
GOOD TIMES (mega-mix),920,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/49oGn7kpZUE2ILsMun08yp,A dancefloor friendly mega-mix.  Find me on instagram  @richspanningtime ,spotify:playlist:49oGn7kpZUE2ILsMun08yp
SOUND OF CUMBIA (mix),48,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/62NX0eYDIJl1aCMe7dsj8d,Classic cumbia.  Find me on instagram @richspanningtime,spotify:playlist:62NX0eYDIJl1aCMe7dsj8d
REGGAE (greatest hits),94,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/0v3OsxmvDeRpZVlZ2PzNTH,A fun familiar mix of classic reggae.  Find me on instagram @richspanningtime,spotify:playlist:0v3OsxmvDeRpZVlZ2PzNTH
SOUL (Northern Soul mix),168,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/5h7EjkDAa58eyRJevAtMkj,Classic Northern soul anthems.  Find me on instagram @richspanningtime,spotify:playlist:5h7EjkDAa58eyRJevAtMkj
SKA (greatest hits),72,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/0erwNikzjichplUkGHjJGg,Classic ska anthems.  Find me on instagram @richspanningtime,spotify:playlist:0erwNikzjichplUkGHjJGg
INDIE (1990s),92,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/5FupVKxoEbJxz6qwiOVhqG,Greatest indie anthems of the 1990s.  Find me on instagram @richspanningtime,spotify:playlist:5FupVKxoEbJxz6qwiOVhqG
MOD (mix),70,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/7sGl4YqPHP2pIefvskYAmN,A Mod era soundtrack.  Find me on instagram @richspanningtime,spotify:playlist:7sGl4YqPHP2pIefvskYAmN
MELLOW GOLD (2000s),192,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/25qWVWiSphzYGuTblWt0VV,Mellow tunes for late night / early morning.  Find me on instagram  @richspanningtime ,spotify:playlist:25qWVWiSphzYGuTblWt0VV
MELLOW GOLD (1990s),184,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/57W73dQXzYvBQq2zIYhfk8,Mellow tunes for late night / early morning.  Find me on instagram  @richspanningtime ,spotify:playlist:57W73dQXzYvBQq2zIYhfk8
2022 best new acts (worldwide),40,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/2Cg6DbhAnWEHd706E1qFhG,New music discoveries in 2022.  Find me on instagram  @richspanningtime ,spotify:playlist:2Cg6DbhAnWEHd706E1qFhG
MELLOW GOLD (1960s),339,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/2SuoOmQJoNtCQeGDla4iR0,Mellow tunes for late night / early morning.  Find me on instagram  @richspanningtime ,spotify:playlist:2SuoOmQJoNtCQeGDla4iR0
PUNK (greatest hits),115,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/5tMhn4khicJSThH0xYd9a7,Greatest hits of original punk rock.  Find me on instagram @richspanningtime,spotify:playlist:5tMhn4khicJSThH0xYd9a7
MELLOW GOLD (1980s),226,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/4wBbZIfTulsuvyytWyKjt2,Mellow tunes for late night / early morning.  Find me on instagram  @richspanningtime ,spotify:playlist:4wBbZIfTulsuvyytWyKjt2
THE HITS (1970s),103,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/7GHJsTR0tK0gLrUKHRUFV8,All the most popular hits of the era.  Find me on instagram  @richspanningtime ,spotify:playlist:7GHJsTR0tK0gLrUKHRUFV8
INDIE (Brit-Pop),70,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/0rdvxgLes5fPciezK8VsWQ,Greatest indie anthems of the Brit Pop era.  Find me on instagram @richspanningtime,spotify:playlist:0rdvxgLes5fPciezK8VsWQ
MELLOW GOLD (2020s),465,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/3j6bm0QjzYgmTCn4LcnU3q,Mellow tunes for late night / early morning.  Find me on instagram  @richspanningtime ,spotify:playlist:3j6bm0QjzYgmTCn4LcnU3q
2022 best new acts (Australia),81,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/3aB7jknTF2UzdAYd5grmBn,New Australian music discoveries in 2021.  Find me on instagram  @richspanningtime ,spotify:playlist:3aB7jknTF2UzdAYd5grmBn
HIP HOP (breakdancer mix),60,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/4x8sYULC4ij9MxuBzEuKaG,An electro hip hop soundtrack for breakdancing.  Find me on instagram @richspanningtime,spotify:playlist:4x8sYULC4ij9MxuBzEuKaG
DANCE (2010s),144,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/0pJkltx5OmsscnmPfjXUFH,All your favourite 2010's dance anthems.  Find me on instagram @richspanningtime,spotify:playlist:0pJkltx5OmsscnmPfjXUFH
1992's GREATEST HITS,75,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/4C2zJW5i6ptTA5WocHoofZ,So what was the soundtrack to 1992?  Find me on instagram via @richspanningtime ,spotify:playlist:4C2zJW5i6ptTA5WocHoofZ
THE HITS (1960s),106,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/7iW6moKFpTzOtnGBNJS86e,All the most popular hits of the era.  Find me on instagram  @richspanningtime ,spotify:playlist:7iW6moKFpTzOtnGBNJS86e
DANCE (1990s),90,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/5BzFgoiAkxZiCitLCSTAfE,All your favourite 1990's dance anthems.  Find me on instagram @richspanningtime,spotify:playlist:5BzFgoiAkxZiCitLCSTAfE
ELECTROCLASH (mix),136,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/6LtqzC8RL9ghN2ZfV1knxs,Dance music from the electroclash era of the early 2000s.  Find me on instagram @richspanningtime,spotify:playlist:6LtqzC8RL9ghN2ZfV1knxs
90s GRUNGE (greatest hits),76,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/0uYfljuxDEEcrvQJPM2sYe,All the greatest hits of 1990s grunge.     Find me on instagram @richspanningtime,spotify:playlist:0uYfljuxDEEcrvQJPM2sYe
ROCK (greatest hits),117,Rich-Spanning-Time,@richspanningtime,https://open.spotify.com/playlist/0WfuumHn6RQCzB6MxHz0u6,Greatest rock anthems.  Find me on instagram @richspanningtime,spotify:playlist:0WfuumHn6RQCzB6MxHz0u6
1978's GREATEST HITS,89,Rich-Spanning-Time,@richspanningtime ,https://open.spotify.com/playlist/6DAyosrbVyBiQTnBrXRs2n,So what was the soundtrack to 1978?  Find me on instagram via @richspanningtime ,spotify:playlist:6DAyosrbVyBiQTnBrXRs2n